email,devices,city,phone,id,name
Aidan.Mcmahon@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",896-647-2628,525.0,Aidan Mcmahon
Aiden.Galvan@example.com,['Desktop'],"San Diego, USA",559-282-1575,112.0,Aiden Galvan
Aimee.Duffy@example.com,"['Android', 'Iphone']","San Diego, USA",856-144-7655,157.0,Aimee Duffy
Aisha.Sosa@example.com,['Iphone'],"New York, USA",964-448-9785,838.0,Aisha Sosa
Aisha.Webb@example.com,"['Android', 'Desktop']","San Francisco, USA",447-728-9592,66.0,Aisha Webb
Aisha.Winters@example.com,['Desktop'],"Toronto, Canada",280-831-1664,232.0,Aisha Winters
Alan.Burton@example.com,['Android'],"San Francisco, USA",795-682-8733,436.0,Alan Burton
Alana.Koch@example.com,"['Desktop', 'Iphone']","Barcelona, Spain",576-828-7913,898.0,Alana Koch
Alanna.Stephens@example.com,['Iphone'],"Chicago, USA",710-282-8586,196.0,Alanna Stephens
Alannah.Perkins@example.com,"['Android', 'Iphone']","Chicago, USA",705-521-6039,929.0,Alannah Perkins
Alannah.Vaughn@example.com,['Android'],"San Francisco, USA",942-130-5841,431.0,Alannah Vaughn
Alasdair.Mckinney@example.com,"['Android', 'Desktop']","Montreal, Canada",608-300-8331,874.0,Alasdair Mckinney
Alastair.Buckley@example.com,['Android'],"San Diego, USA",776-243-3725,97.0,Alastair Buckley
Albie.Larson@example.com,"['Android', 'Iphone']","Barcelona, Spain",252-910-3152,816.0,Albie Larson
Aled.Harris@example.com,"['Desktop', 'Iphone']","San Diego, USA",924-132-3783,560.0,Aled Harris
Aled.Silva@example.com,['Iphone'],"Toronto, Canada",612-360-5367,65.0,Aled Silva
Alejandro.Ali@example.com,['Desktop'],"San Francisco, USA",685-467-9906,478.0,Alejandro Ali
Alejandro.Brandt@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",334-279-1420,32.0,Alejandro Brandt
Alejandro.Duncan@example.com,['Desktop'],"London, United Kingdom",487-150-9471,129.0,Alejandro Duncan
Alejandro.Kent@example.com,"['Android', 'Iphone']","Chicago, USA",915-320-3214,927.0,Alejandro Kent
Aleksander.Durham@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",582-306-5689,409.0,Aleksander Durham
Alessandro.French@example.com,"['Android', 'Desktop']","San Diego, USA",216-516-1958,934.0,Alessandro French
Alessia.Jenkins@example.com,['Iphone'],"Chicago, USA",547-388-2503,210.0,Alessia Jenkins
Alessia.Watts@example.com,['Android'],"New York, USA",619-580-5165,160.0,Alessia Watts
Alex.Alexander@example.com,"['Android', 'Iphone']","San Francisco, USA",489-290-8290,790.0,Alex Alexander
Alexa.Baird@example.com,['Iphone'],"San Francisco, USA",604-771-4056,622.0,Alexa Baird
Alexander.Reid@example.com,"['Desktop', 'Iphone']","Montreal, Canada",842-314-3728,818.0,Alexander Reid
Alexander.Terry@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",480-560-1876,671.0,Alexander Terry
Alexandra.Young@example.com,"['Android', 'Desktop']","Barcelona, Spain",425-414-7823,500.0,Alexandra Young
Alexandros.Green@example.com,['Iphone'],"San Diego, USA",725-427-2794,341.0,Alexandros Green
Alexandros.Ryan@example.com,"['Android', 'Iphone', 'Desktop']","Los Angeles, USA",849-570-8792,862.0,Alexandros Ryan
Alfred.Stuart@example.com,['Desktop'],"Los Angeles, USA",713-145-1454,342.0,Alfred Stuart
Alia.Brooks@example.com,"['Android', 'Desktop']","Montreal, Canada",327-292-8469,156.0,Alia Brooks
Alia.Hess@example.com,['Desktop'],"San Diego, USA",735-371-7432,257.0,Alia Hess
Alice.Huber@example.com,['Desktop'],"Chicago, USA",190-538-3053,565.0,Alice Huber
Alice.Nielsen@example.com,['Desktop'],"Chicago, USA",988-763-8894,313.0,Alice Nielsen
Alina.Mccoy@example.com,"['Desktop', 'Iphone']","San Francisco, USA",495-292-8149,25.0,Alina Mccoy
Alina.Odom@example.com,"['Android', 'Iphone', 'Desktop']","Chicago, USA",737-828-4041,587.0,Alina Odom
Alina.Walls@example.com,['Android'],"Chicago, USA",507-883-4629,102.0,Alina Walls
Alisha.Hoover@example.com,['Android'],"San Diego, USA",500-251-7080,938.0,Alisha Hoover
Alistair.Moore@example.com,"['Desktop', 'Iphone']","Los Angeles, USA",358-489-3754,348.0,Alistair Moore
Alivia.Armstrong@example.com,['Iphone'],"Chicago, USA",398-367-7522,131.0,Alivia Armstrong
Alyssa.Bradshaw@example.com,"['Android', 'Desktop']","San Diego, USA",606-353-8050,939.0,Alyssa Bradshaw
Amaan.Rangel@example.com,"['Android', 'Iphone']","Montreal, Canada",837-435-2302,52.0,Amaan Rangel
Amber.Gonzalez@example.com,['Desktop'],"London, United Kingdom",884-628-1984,636.0,Amber Gonzalez
Ameer.Orr@example.com,"['Android', 'Desktop']","Chicago, USA",993-387-9130,713.0,Ameer Orr
Ameera.Kirby@example.com,"['Android', 'Desktop']","London, United Kingdom",611-776-9890,523.0,Ameera Kirby
Amie.Hood@example.com,['Android'],"Los Angeles, USA",659-426-4878,755.0,Amie Hood
Amie.Lin@example.com,"['Android', 'Desktop']","New York, USA",153-814-9880,451.0,Amie Lin
Amin.Petersen@example.com,['Desktop'],"London, United Kingdom",680-177-1233,804.0,Amin Petersen
Aminah.Wells@example.com,"['Android', 'Iphone', 'Desktop']","Chicago, USA",950-639-9777,179.0,Aminah Wells
Amir.Blackwell@example.com,['Desktop'],"San Francisco, USA",291-386-7567,765.0,Amir Blackwell
Amir.Clark@example.com,"['Android', 'Iphone', 'Desktop']","London, United Kingdom",924-287-4068,91.0,Amir Clark
Amira.Berg@example.com,"['Android', 'Iphone']","Chicago, USA",627-954-8991,165.0,Amira Berg
Amira.Lane@example.com,['Desktop'],"San Francisco, USA",321-569-4426,240.0,Amira Lane
Amira.Mueller@example.com,['Iphone'],"San Francisco, USA",445-867-4511,471.0,Amira Mueller
Ammar.Floyd@example.com,"['Desktop', 'Iphone']","New York, USA",960-107-6796,555.0,Ammar Floyd
Amna.Garner@example.com,"['Android', 'Desktop', 'Iphone']","Paris, France",157-518-8037,448.0,Amna Garner
Anais.Ball@example.com,"['Desktop', 'Iphone']","San Diego, USA",802-416-6545,753.0,Anais Ball
Anais.Pineda@example.com,['Android'],"New York, USA",609-304-3412,696.0,Anais Pineda
Anas.Blevins@example.com,"['Android', 'Iphone', 'Desktop']","San Diego, USA",138-515-3364,90.0,Anas Blevins
Andre.Le@example.com,['Android'],"San Francisco, USA",583-114-3994,486.0,Andre Le
Andre.Long@example.com,"['Desktop', 'Iphone']","San Francisco, USA",883-691-2967,187.0,Andre Long
Angel.Browning@example.com,['Desktop'],"Los Angeles, USA",768-205-1455,831.0,Angel Browning
Angela.Lynch@example.com,"['Android', 'Iphone']","San Francisco, USA",227-737-8739,212.0,Angela Lynch
Angela.Mcmillan@example.com,['Android'],"London, United Kingdom",868-463-1850,78.0,Angela Mcmillan
Angelo.Manning@example.com,['Android'],"Toronto, Canada",182-351-6749,433.0,Angelo Manning
Anita.Skinner@example.com,"['Android', 'Iphone']","Barcelona, Spain",885-134-1740,977.0,Anita Skinner
Anjali.Peck@example.com,['Iphone'],"San Diego, USA",703-497-6452,504.0,Anjali Peck
Ann.John@example.com,"['Desktop', 'Iphone']","San Francisco, USA",814-362-6094,926.0,Ann John
Annabelle.Atkinson@example.com,['Android'],"San Francisco, USA",494-263-3527,279.0,Annabelle Atkinson
Annalise.Stephens@example.com,"['Desktop', 'Iphone']","Toronto, Canada",853-224-1381,591.0,Annalise Stephens
Anthony.Mccullough@example.com,['Desktop'],"Chicago, USA",330-176-2600,662.0,Anthony Mccullough
Anton.Hartman@example.com,"['Android', 'Iphone', 'Desktop']","London, United Kingdom",708-986-9234,860.0,Anton Hartman
Anya.Bray@example.com,['Iphone'],"Toronto, Canada",396-900-5179,292.0,Anya Bray
Aoife.Davidson@example.com,['Android'],"London, United Kingdom",628-333-9139,791.0,Aoife Davidson
Arabella.Knox@example.com,"['Android', 'Iphone']","Los Angeles, USA",652-272-9539,2.0,Arabella Knox
Archibald.Melendez@example.com,"['Android', 'Iphone']","Chicago, USA",553-482-8315,326.0,Archibald Melendez
Archie.Gregory@example.com,"['Android', 'Desktop']","San Diego, USA",945-301-2904,595.0,Archie Gregory
Arjun.Dejesus@example.com,['Iphone'],"Chicago, USA",693-790-8692,698.0,Arjun Dejesus
Arjun.Mccarthy@example.com,['Android'],"Los Angeles, USA",152-255-3479,497.0,Arjun Mccarthy
Arnold.Spencer@example.com,"['Desktop', 'Iphone']","San Francisco, USA",962-701-8237,834.0,Arnold Spencer
Arron.Herman@example.com,['Desktop'],"San Diego, USA",999-222-5375,573.0,Arron Herman
Arron.Peck@example.com,"['Android', 'Iphone']","Paris, France",226-392-7970,119.0,Arron Peck
Arthur.Hebert@example.com,['Android'],"New York, USA",203-343-2956,813.0,Arthur Hebert
Asa.Haines@example.com,"['Android', 'Iphone']","London, United Kingdom",327-464-5734,199.0,Asa Haines
Asa.Vazquez@example.com,['Android'],"Toronto, Canada",504-421-4485,9.0,Asa Vazquez
Ashleigh.Trevino@example.com,['Android'],"San Francisco, USA",621-710-6972,238.0,Ashleigh Trevino
Ashley.Cain@example.com,['Desktop'],"London, United Kingdom",679-244-6655,485.0,Ashley Cain
Asia.Holloway@example.com,['Desktop'],"Los Angeles, USA",512-876-7834,864.0,Asia Holloway
Aston.Villegas@example.com,"['Android', 'Desktop']","Los Angeles, USA",553-640-6714,954.0,Aston Villegas
Astrid.Delgado@example.com,"['Android', 'Iphone', 'Desktop']","London, United Kingdom",641-317-3741,599.0,Astrid Delgado
Astrid.Miles@example.com,"['Desktop', 'Iphone']","Paris, France",473-411-8478,906.0,Astrid Miles
Aurora.Andrews@example.com,['Desktop'],"San Diego, USA",353-307-2005,815.0,Aurora Andrews
Autumn.Hensley@example.com,"['Android', 'Iphone']","New York, USA",107-156-5064,283.0,Autumn Hensley
Aya.Hoover@example.com,"['Android', 'Iphone', 'Desktop']","Chicago, USA",640-104-6782,310.0,Aya Hoover
Aya.Weeks@example.com,"['Android', 'Iphone']","Toronto, Canada",466-888-7144,726.0,Aya Weeks
Ayden.Valentine@example.com,"['Android', 'Desktop']","San Francisco, USA",208-392-1702,932.0,Ayden Valentine
Ayesha.O'Reilly@example.com,['Iphone'],"San Diego, USA",273-616-5739,297.0,Ayesha O'Reilly
Ayesha.Underwood@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",687-284-9762,919.0,Ayesha Underwood
Azaan.Barker@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",326-267-7811,692.0,Azaan Barker
Azaan.Roth@example.com,"['Android', 'Iphone']","Los Angeles, USA",130-119-2032,206.0,Azaan Roth
Barnaby.Payne@example.com,['Android'],"London, United Kingdom",140-296-7511,309.0,Barnaby Payne
Barnaby.Wagner@example.com,['Desktop'],"Montreal, Canada",974-500-4168,716.0,Barnaby Wagner
Barry.Buck@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",667-391-6777,915.0,Barry Buck
Barry.Reilly@example.com,['Desktop'],"Montreal, Canada",117-863-9669,594.0,Barry Reilly
Barry.Taylor@example.com,['Desktop'],"San Francisco, USA",999-341-2797,717.0,Barry Taylor
Beatrix.Everett@example.com,['Android'],"Paris, France",194-640-2758,5.0,Beatrix Everett
Beau.Duran@example.com,"['Android', 'Iphone']","New York, USA",797-203-1866,617.0,Beau Duran
Benjamin.Riddle@example.com,"['Android', 'Desktop']","Toronto, Canada",835-645-8652,893.0,Benjamin Riddle
Bernard.Moran@example.com,['Iphone'],"San Francisco, USA",863-265-3242,487.0,Bernard Moran
Bertha.Carter@example.com,"['Android', 'Desktop']","Chicago, USA",708-356-2109,276.0,Bertha Carter
Bertha.Walsh@example.com,"['Android', 'Iphone']","London, United Kingdom",129-506-2067,606.0,Bertha Walsh
Bertie.Cobb@example.com,['Desktop'],"San Francisco, USA",171-373-6091,760.0,Bertie Cobb
Bertie.Ward@example.com,"['Android', 'Desktop']","Montreal, Canada",971-922-8663,135.0,Bertie Ward
Bessie.Cole@example.com,['Iphone'],"San Diego, USA",424-390-3432,126.0,Bessie Cole
Bessie.Conley@example.com,['Iphone'],"London, United Kingdom",128-912-7282,505.0,Bessie Conley
Bessie.Cuevas@example.com,"['Android', 'Iphone']","Toronto, Canada",629-379-6872,317.0,Bessie Cuevas
Bethan.Franco@example.com,['Android'],"Toronto, Canada",317-895-5803,248.0,Bethan Franco
Bethany.Santana@example.com,['Iphone'],"New York, USA",924-146-4189,54.0,Bethany Santana
Bibi.Roberts@example.com,['Android'],"New York, USA",631-796-8801,607.0,Bibi Roberts
Bibi.Weaver@example.com,"['Android', 'Iphone']","Paris, France",956-787-2725,869.0,Bibi Weaver
Bilal.Shaffer@example.com,['Desktop'],"San Diego, USA",308-774-7278,603.0,Bilal Shaffer
Bill.Andersen@example.com,"['Android', 'Iphone']","Toronto, Canada",962-770-1270,757.0,Bill Andersen
Bill.Chen@example.com,"['Android', 'Iphone', 'Desktop']","Toronto, Canada",264-895-1912,426.0,Bill Chen
Bill.Jacobs@example.com,['Android'],"San Francisco, USA",279-704-9018,600.0,Bill Jacobs
Billie.Price@example.com,['Desktop'],"London, United Kingdom",917-866-8131,57.0,Billie Price
Billy.Norton@example.com,['Android'],"Chicago, USA",816-614-5153,963.0,Billy Norton
Blaine.Boyer@example.com,['Desktop'],"London, United Kingdom",411-997-1636,153.0,Blaine Boyer
Bonnie.Woods@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",104-443-5734,254.0,Bonnie Woods
Bradley.Butler@example.com,['Iphone'],"Montreal, Canada",937-172-2269,31.0,Bradley Butler
Brandon.Rangel@example.com,"['Android', 'Iphone']","New York, USA",417-706-8052,375.0,Brandon Rangel
Brayden.Patrick@example.com,"['Android', 'Desktop']","Los Angeles, USA",173-881-1582,702.0,Brayden Patrick
Brenda.Deleon@example.com,['Iphone'],"Paris, France",997-981-2043,798.0,Brenda Deleon
Brenda.Ingram@example.com,"['Android', 'Iphone', 'Desktop']","Montreal, Canada",919-358-6885,290.0,Brenda Ingram
Brett.Landry@example.com,['Iphone'],"Barcelona, Spain",213-171-7560,691.0,Brett Landry
Bridget.Oneill@example.com,['Android'],"San Francisco, USA",349-116-7728,507.0,Bridget Oneill
Brittney.Ruiz@example.com,"['Desktop', 'Iphone']","San Francisco, USA",259-940-6592,646.0,Brittney Ruiz
Brogan.Fitzgerald@example.com,"['Android', 'Iphone']","Montreal, Canada",955-732-8107,243.0,Brogan Fitzgerald
Bronte.Mendoza@example.com,"['Android', 'Iphone']","Toronto, Canada",323-783-6615,712.0,Bronte Mendoza
Bronte.Riley@example.com,['Iphone'],"Toronto, Canada",786-291-8203,274.0,Bronte Riley
Bronwyn.Hanna@example.com,['Android'],"Toronto, Canada",763-469-4049,537.0,Bronwyn Hanna
Brooke.Barron@example.com,['Iphone'],"Chicago, USA",715-588-5341,508.0,Brooke Barron
Brooklyn.Fowler@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",933-501-9509,631.0,Brooklyn Fowler
Brooklyn.Gamble@example.com,"['Desktop', 'Iphone']","Chicago, USA",187-138-7951,291.0,Brooklyn Gamble
Bruno.Noble@example.com,['Iphone'],"San Diego, USA",639-790-8394,50.0,Bruno Noble
Bryan.Caldwell@example.com,['Desktop'],"San Francisco, USA",161-104-1451,494.0,Bryan Caldwell
Bryan.Powell@example.com,['Android'],"San Francisco, USA",235-538-4936,774.0,Bryan Powell
Bryony.Stevens@example.com,['Desktop'],"New York, USA",537-447-5075,583.0,Bryony Stevens
Cai.Rowe@example.com,"['Android', 'Desktop']","New York, USA",263-391-9368,942.0,Cai Rowe
Caiden.Kaufman@example.com,['Desktop'],"Montreal, Canada",805-349-3127,346.0,Caiden Kaufman
Cain.Robertson@example.com,"['Desktop', 'Iphone']","New York, USA",375-525-5823,988.0,Cain Robertson
Caitlyn.Lawson@example.com,"['Desktop', 'Iphone']","Paris, France",470-723-2187,987.0,Caitlyn Lawson
Caleb.Obrien@example.com,"['Android', 'Iphone']","Toronto, Canada",223-387-1014,768.0,Caleb Obrien
Calvin.Tucker@example.com,['Iphone'],"San Diego, USA",338-784-4359,711.0,Calvin Tucker
Camilla.Huff@example.com,"['Android', 'Desktop']","San Francisco, USA",943-976-4626,432.0,Camilla Huff
Camilla.Wells@example.com,"['Android', 'Desktop']","London, United Kingdom",149-482-9546,390.0,Camilla Wells
Candice.Hooper@example.com,"['Android', 'Iphone', 'Desktop']","Toronto, Canada",382-506-1338,411.0,Candice Hooper
Candice.Moyer@example.com,"['Android', 'Iphone']","San Francisco, USA",964-229-5609,710.0,Candice Moyer
Carmen.Burton@example.com,"['Android', 'Desktop']","Toronto, Canada",527-368-7429,19.0,Carmen Burton
Carol.Bean@example.com,['Android'],"San Francisco, USA",168-263-3805,424.0,Carol Bean
Carol.Russo@example.com,"['Android', 'Desktop']","Toronto, Canada",192-156-9508,917.0,Carol Russo
Carol.York@example.com,['Android'],"San Diego, USA",402-586-5192,124.0,Carol York
Carolyn.Pittman@example.com,['Android'],"New York, USA",451-215-7038,535.0,Carolyn Pittman
Carter.Coleman@example.com,"['Desktop', 'Iphone']","San Francisco, USA",530-826-1153,237.0,Carter Coleman
Casey.Finley@example.com,"['Android', 'Iphone', 'Desktop']","London, United Kingdom",306-893-4689,586.0,Casey Finley
Caspar.Hudson@example.com,['Iphone'],"Toronto, Canada",830-584-4874,103.0,Caspar Hudson
Casper.Freeman@example.com,['Android'],"San Diego, USA",932-653-8020,82.0,Casper Freeman
Casper.Padilla@example.com,"['Android', 'Iphone']","San Francisco, USA",823-261-2968,575.0,Casper Padilla
Cassie.Gaines@example.com,"['Desktop', 'Iphone']","Paris, France",496-692-2413,468.0,Cassie Gaines
Cassie.Molina@example.com,"['Android', 'Desktop']","San Francisco, USA",811-806-5304,28.0,Cassie Molina
Cayden.Walls@example.com,"['Android', 'Desktop']","San Francisco, USA",355-649-8007,875.0,Cayden Walls
Cecilia.David@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",919-925-5280,868.0,Cecilia David
Cecilia.Edwards@example.com,"['Android', 'Iphone', 'Desktop']","London, United Kingdom",941-963-8256,559.0,Cecilia Edwards
Cecily.Blaese@example.com,"['Desktop', 'Iphone']","Toronto, Canada",234-446-2115,405.0,Cecily Blaese
Cecily.Escobar@example.com,['Desktop'],"New York, USA",840-532-1467,764.0,Cecily Escobar
Celia.Terry@example.com,"['Desktop', 'Iphone']","New York, USA",986-149-3342,47.0,Celia Terry
Celine.Calderon@example.com,['Iphone'],"San Diego, USA",110-293-2276,419.0,Celine Calderon
Chanel.Lang@example.com,"['Desktop', 'Iphone']","San Francisco, USA",284-895-4854,298.0,Chanel Lang
Chantelle.Holt@example.com,"['Android', 'Desktop']","Paris, France",256-585-1002,736.0,Chantelle Holt
Charis.Bray@example.com,"['Android', 'Desktop']","Los Angeles, USA",175-925-8526,848.0,Charis Bray
Charis.Cotton@example.com,['Desktop'],"Toronto, Canada",598-771-1224,466.0,Charis Cotton
Charlotte.Baxter@example.com,"['Android', 'Desktop']","San Francisco, USA",757-193-7348,190.0,Charlotte Baxter
Charlotte.Trevino@example.com,"['Android', 'Iphone']","New York, USA",110-715-4620,413.0,Charlotte Trevino
Chelsea.Proctor@example.com,['Desktop'],"Chicago, USA",256-560-3458,951.0,Chelsea Proctor
Chelsea.Wyatt@example.com,"['Desktop', 'Iphone']","San Diego, USA",750-801-9657,104.0,Chelsea Wyatt
Cheryl.Owens@example.com,"['Android', 'Iphone']","San Francisco, USA",812-775-9881,80.0,Cheryl Owens
Chester.Bell@example.com,['Iphone'],"New York, USA",501-541-1518,853.0,Chester Bell
Chiara.Ho@example.com,['Iphone'],"Montreal, Canada",279-331-5254,825.0,Chiara Ho
Chloe.Mullen@example.com,['Android'],"New York, USA",723-357-7363,935.0,Chloe Mullen
Chris.Zimmerman@example.com,['Desktop'],"San Diego, USA",371-875-4229,241.0,Chris Zimmerman
Christina.Blanchard@example.com,['Desktop'],"New York, USA",420-887-3636,865.0,Christina Blanchard
Christina.Mays@example.com,"['Android', 'Desktop']","San Francisco, USA",333-143-8841,930.0,Christina Mays
Christine.Davenport@example.com,['Iphone'],"Montreal, Canada",168-853-2168,483.0,Christine Davenport
Christopher.Pollard@example.com,"['Android', 'Iphone', 'Desktop']","San Diego, USA",915-743-9764,415.0,Christopher Pollard
Clara.Bird@example.com,['Android'],"San Francisco, USA",958-605-3200,40.0,Clara Bird
Clarence.Hanson@example.com,"['Android', 'Iphone']","Chicago, USA",743-908-5464,85.0,Clarence Hanson
Clementine.Beck@example.com,"['Desktop', 'Iphone']","San Diego, USA",607-793-6646,857.0,Clementine Beck
Clementine.Sloan@example.com,"['Android', 'Iphone']","Chicago, USA",480-906-3761,558.0,Clementine Sloan
Clementine.Whitaker@example.com,['Desktop'],"Los Angeles, USA",193-348-3198,249.0,Clementine Whitaker
Cleo.Greer@example.com,"['Android', 'Iphone']","Los Angeles, USA",138-806-4136,77.0,Cleo Greer
Clifford.Mcgee@example.com,"['Android', 'Iphone']","San Francisco, USA",715-116-6302,21.0,Clifford Mcgee
Cody.Riley@example.com,"['Android', 'Iphone', 'Desktop']","London, United Kingdom",872-906-9681,41.0,Cody Riley
Colby.Baxter@example.com,['Android'],"Los Angeles, USA",584-747-3867,472.0,Colby Baxter
Colby.Harding@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",584-554-7060,964.0,Colby Harding
Colby.Hart@example.com,"['Android', 'Desktop']","San Francisco, USA",900-712-6799,99.0,Colby Hart
Connor.Neal@example.com,"['Android', 'Desktop']","Chicago, USA",189-827-7386,941.0,Connor Neal
Conor.Rush@example.com,['Iphone'],"New York, USA",663-671-4088,201.0,Conor Rush
Conrad.Hanna@example.com,"['Desktop', 'Iphone']","San Diego, USA",934-954-3387,441.0,Conrad Hanna
Cordelia.Houston@example.com,"['Android', 'Iphone']","San Francisco, USA",946-560-7738,45.0,Cordelia Houston
Cordelia.Marquez@example.com,"['Desktop', 'Iphone']","Los Angeles, USA",636-910-2488,286.0,Cordelia Marquez
Cordelia.Serrano@example.com,"['Android', 'Desktop']","London, United Kingdom",950-319-1013,891.0,Cordelia Serrano
Cormac.Greer@example.com,"['Desktop', 'Iphone']","Paris, France",722-120-7628,650.0,Cormac Greer
Cory.Case@example.com,['Android'],"London, United Kingdom",406-161-3681,905.0,Cory Case
Craig.Mcknight@example.com,"['Android', 'Desktop']","Chicago, USA",634-813-9351,564.0,Craig Mcknight
Cruz.Neal@example.com,['Desktop'],"Chicago, USA",732-513-2567,566.0,Cruz Neal
Dafydd.Preston@example.com,"['Android', 'Desktop', 'Iphone']","Barcelona, Spain",368-987-3267,29.0,Dafydd Preston
Damon.Bullock@example.com,"['Android', 'Desktop']","Chicago, USA",130-864-9453,191.0,Damon Bullock
Dan.Bates@example.com,['Desktop'],"San Francisco, USA",944-189-5693,824.0,Dan Bates
Daniel.Reid@example.com,['Android'],"Paris, France",753-936-1634,552.0,Daniel Reid
Daniela.James@example.com,['Iphone'],"San Francisco, USA",716-145-3987,883.0,Daniela James
Danielle.Glenn@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",727-709-3351,23.0,Danielle Glenn
Danielle.Lester@example.com,"['Android', 'Iphone']","San Francisco, USA",427-342-5497,517.0,Danielle Lester
Danny.Knapp@example.com,"['Android', 'Iphone', 'Desktop']","Los Angeles, USA",665-657-4948,300.0,Danny Knapp
Danny.Tate@example.com,['Android'],"San Diego, USA",574-779-9113,549.0,Danny Tate
Dante.Burgess@example.com,"['Android', 'Desktop']","San Diego, USA",222-241-4261,700.0,Dante Burgess
Dante.Moon@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",285-551-6208,811.0,Dante Moon
Danyal.Lang@example.com,"['Desktop', 'Iphone']","Toronto, Canada",629-875-4423,593.0,Danyal Lang
Darcey.Powell@example.com,"['Android', 'Iphone']","San Diego, USA",558-608-9550,370.0,Darcey Powell
Darcey.Robles@example.com,['Iphone'],"London, United Kingdom",790-759-5249,260.0,Darcey Robles
Darcey.Whitney@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",483-860-2350,189.0,Darcey Whitney
Darcie.Lane@example.com,['Android'],"Los Angeles, USA",899-901-3539,166.0,Darcie Lane
Darcy.Jenkins@example.com,['Iphone'],"Los Angeles, USA",705-890-7715,584.0,Darcy Jenkins
Darcy.Wall@example.com,['Desktop'],"Montreal, Canada",109-398-3560,231.0,Darcy Wall
David.Bridges@example.com,['Iphone'],"New York, USA",946-447-2454,184.0,David Bridges
David.Mcconnell@example.com,['Iphone'],"San Francisco, USA",967-585-7262,576.0,David Mcconnell
Davina.O'Doherty@example.com,"['Android', 'Desktop']","New York, USA",330-649-8079,572.0,Davina O'Doherty
